;DataType;Description;Name;GroupName_0;GroupName_1;GroupName_2;nhtsa_abbreviation;values_url
168;lookup;<p>A TPMS is an electronic system designed to monitor the air pressure inside the pneumatic tires on various types of vehicles. TPMS can be divided into two different types - direct and indirect. Direct TPMS employ pressure sensors on each wheel, either internal or external. The sensors physically measure the tire pressure in each tire and report it to the vehicle's instrument cluster or a corresponding monitor. Indirect TPMS does not use physical pressure sensors but measure air pressures by monitoring individual wheel rotational speeds and other signals available outside of the tire itself.</p>;Tire Pressure Monitoring System (TPMS) Type;Active Safety System;;;TPMS;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/168?format=json
169;string;This field stores additional information about active safety systems in a vehicle.;Active Safety System Note;Active Safety System;;;ActiveSafetySysNote;
170;lookup;<p>A DBS system is an automatic emergency braking system designed to detect an impending forward crash with another vehicle. DBS systems automatically supplement the driver's braking in an effort to avoid a crash if the driver does not brake hard enough to avoid it.</p>;Dynamic Brake Support (DBS);Active Safety System;Forward Collision Prevention;;DynamicBrakeSupport;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/170?format=json
171;lookup;<p>A PAEB system provides automatic braking for vehicles when pedestrians are in front of the vehicle and the driver has not acted to avoid a crash.</p>;Pedestrian Automatic Emergency Braking (PAEB);Active Safety System;Forward Collision Prevention;;PedestrianAutomaticEmergencyBraking;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/171?format=json
172;lookup;<p>An auto-reverse system enables power windows and sunroofs on motor vehicles to automatically reverse direction when such power windows and panels detect an obstruction. This feature can prevent children and others from being trapped, injured, or killed by the power windows and sunroofs.</p>;Auto-Reverse System for Windows and Sunroofs;Active Safety System;;;AutoReverseSystem;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/172?format=json
173;lookup;<p>Electric vehicle warning sounds are a series of sounds designed to alert pedestrians to the presence of electric drive vehicles such as hybrid electric vehicles (HEVs), plug-in hybrid electric vehicles (PHEVs), and all-electric vehicles (EVs) travelling at low speeds. Vehicles operating in all-electric mode produce less noise than traditional combustion engine vehicles and can make it more difficult for pedestrians, the blind, cyclists, and others to be aware of their presence.</p>;Automatic Pedestrian Alerting Sound (for Hybrid and EV only);Active Safety System;;;AutomaticPedestrianAlertingSound;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/173?format=json
174;lookup;<p>An ACN system notifies emergency responders that a crash has occurred and provides its location.</p>;Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN);Active Safety System;911 Notification;;CAN_AACN;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/174?format=json
175;lookup;"<p>An EDR is a device installed in motor vehicles to record technical vehicle and occupant information for a brief period before, during, and after a triggering event, typically a crash or near-crash event. Sometimes referred to as ""black-box"" data, these data or event records can be valuable when analyzing and reconstructing crashes.</p>";Event Data Recorder (EDR);Active Safety System;;;EDR;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/175?format=json
176;lookup;"<p>A keyless ignition system permits starting a car without a physical key being inserted into an ignition. Instead, a small device known as a ""key fob"" transmits a code to a computer in the vehicle when the fob is within a certain close range. When the coded signal matches the code embedded in the vehicle's computer, a number of systems within the car are activated, including the starter system. This allows the car to be started by simply pressing a button on the dashboard while the key fob is left in a pocket or a purse. The vehicle is usually shut down by pushing the same button.</p>";Keyless Ignition;Active Safety System;;;KeylessIgnition;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/176?format=json
177;lookup;<p>DRL is an automotive lighting system on the front of a vehicle or bicycle, that automatically switches on when the vehicle is in drive, and emits white, yellow, or amber light to increase the conspicuity of the vehicle during daylight conditions.</p>;Daytime Running Light (DRL);Active Safety System;Lighting Technologies;;DaytimeRunningLight;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/177?format=json
178;lookup;<p>A headlamp light source provides a distribution of light designed to provide adequate forward and lateral illumination with limits on light directed towards the eyes of other road users, to control glare. This beam is intended for use whenever other vehicles are present ahead. Halogen, high-Intensity discharge (HID), light-emitting diode (LED), and laser are the most common headlights on the market.</p>;Headlamp Light Source;Active Safety System;Lighting Technologies;;LowerBeamHeadlampLightSource;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/178?format=json
179;lookup;<p>A semi-automatic headlamp beam switching device provides automatic or manual control of beam switching at the option of the driver. When the control is automatic, the headlamps switch from the upper beam to the lower beam when illuminated by the headlamps on an approaching car and switch back to the upper beam when the road ahead is dark. When the control is manual, the driver may obtain either beam manually regardless of the condition of lights ahead of the vehicle.</p>;Semiautomatic Headlamp Beam Switching;Active Safety System;Lighting Technologies;;SemiautomaticHeadlampBeamSwitching;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/179?format=json
180;lookup;<p>ADB is a type of front-lighting system that lets upper beam headlamps adapt their beam patterns to create shaded areas around oncoming and preceding vehicles to improve long-range visibility for the driver without causing discomfort, distraction, or glare to other road users.</p>;Adaptive Driving Beam (ADB);Active Safety System;Lighting Technologies;;AdaptiveDrivingBeam;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/180?format=json
181;int;<p>SAE stands for the Society of Automotive Engineers, which changed its name to SAE International in 2006. This field indicates the lower bound of intelligence level and automation capabilities of vehicles, ranking from 0 to 5, per SAE Standard J3016 2018.</p>;SAE Automation Level From;Active Safety System;;;SAEAutomationLevel;
182;int;<p>SAE stands for the Society of Automotive Engineers, which changed its name to SAE International in 2006. This field indicates the higher bound of intelligence level and automation capabilities of vehicles, ranking from 0 to 5, per SAE Standard J3016 2018.</p>;SAE Automation Level To;Active Safety System;;;SAEAutomationLevel_to;
183;lookup;<p>A rear cross traffic alert system warns the driver of a potential collision, while in reverse, which may be outside the view of the backup camera.</p>;Rear Cross Traffic Alert;Active Safety System;Backing Up and Parking;;RearCrossTrafficAlert;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/183?format=json
184;lookup;<p>Gross combination weight rating (GCWR) is the maximum allowable combined mass of a road vehicle, the passengers and cargo in the tow vehicle, plus the mass of the trailer and cargo in the trailer. This rating is set by the vehicle manufacturer. This field captures the lower bound of GCWR range for the vehicle.</p>;Gross Combination Weight Rating From;Exterior;Dimension;;GCWR;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/184?format=json
185;lookup;<p>Gross combination weight rating (GCWR) is the maximum allowable combined mass of a road vehicle, the passengers and cargo in the tow vehicle, plus the mass of the trailer and cargo in the trailer. This rating is set by the vehicle manufacturer. This field captures the higher bound of GCWR range for the vehicle.</p>;Gross Combination Weight Rating To;Exterior;Dimension;;GCWR_to;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/185?format=json
186;string;<p>This internal field is to note the logic behind the NCSA mapping in special cases.</p>;NCSA Note;Internal;;;NCSANote;
190;lookup;"<p>Gross vehicle weight rating (GVWR) is the maximum operating weight of a vehicle including the vehicle's chassis, body, engine, engine fluids, fuel, accessories, driver, passengers and cargo, but excluding that of the trailers. Per 49 CFR 565.15, Class 1 is further broken down to Class A-D; Class 2 is further broken down to Class E-H. This field captures the higher bound of GVWR range for the vehicle.</p>";Gross Vehicle Weight Rating To;Exterior;Dimension;;GVWR_to;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/190?format=json
191;string;<p>Error Text</p>;Error Text;System;;;ErrorText;
192;lookup;A rear automatic braking system uses sensors, like parking sensors and the backup camera, to detect objects behind the vehicle. If the system detects a potential collision while in reverse, it automatically applies the brakes if a crash is imminent.;Rear Automatic Emergency Braking;Active Safety System;Backing Up and Parking;;RearAutomaticEmergencyBraking;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/192?format=json
193;lookup;<p>BSI helps prevent a collision with a vehicle in the driver’s blind spot. If the driver ignores the blind spot warning and starts to change to a lane where there’s a vehicle, the system activates and automatically applies light braking pressure, or provides steering input, to guide the vehicle back into the original lane. The system monitors for vehicles in the driver’s blind spot using rear-facing cameras or proximity sensors.</p>;Blind Spot Intervention (BSI);Active Safety System;Lane and Side Assist;;BlindSpotIntervention;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/193?format=json
194;lookup;A lane centering assistance system utilizes a camera-based vision system designed to monitor the vehicle’s lane position and automatically and continuously apply steering inputs needed to keep the vehicle centered within its lane.;Lane Centering Assistance;Active Safety System;Lane and Side Assist;;LaneCenteringAssistance;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/194?format=json
195;lookup;<p>Non-Land Use data element identifies the non-land use of the vehicle when a vehicle is designed to be used off land (e.g., an amphibious vehicle).</p><ul><li>Air: identifies vehicles that can be driven on land and in the air</li><li>Air and Water: identifies vehicles that can be driven on land, in the air and on or under water</li><li>Water: identifies vehicles that can be driven on land and on or under water</li></ul><br>;Non-Land Use;General;;;NonLandUse;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/195?format=json
196;string;Vehicle Descriptor is VIN without PII (sequential number);Vehicle Descriptor;System;;;VehicleDescriptor;
